country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
CHN,China,Xuanhua C,WKS0071673,10.0,40.49,114.785,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,15.33,14.88,14.96,15.52,15.16,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Xuanhua power station,WRI1070621,600.0,40.5799,115.0733,Coal,,,,2010.0,Hebei Construction Energy Investment Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1087277,,,,,,,,,,,,,,2923.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xuanwei power station,WRI1070454,1800.0,26.1872,104.1106,Coal,,,,2003.0,China Guodian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1033732,,,,,,,,,,,,,,8770.84,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xuchang Yulong power station,WRI1070672,2020.0,34.1748,113.3581,Coal,,,,2006.0,Xuchang Yulong Power Station,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1041663,,,,,,,,,,,,,,9842.83,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xueshangou Hydro,WRI1072361,11.0,43.8194,83.2867,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=6977,UNFCCC CDM Registry,,,,,,,,,,,26.42,36.89,35.66,44.97,35.66,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Xundian Gaobenshan,WRI1072516,49.0,25.776,103.1892,Wind,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=7427,UNFCCC CDM Registry,1108571,,,,,,,,,,,,,,90.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xundian Jinfeng,WRI1071181,12.0,25.8764,103.1097,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=3023,UNFCCC CDM Registry,,,,,,,,,,,29.3,39.97,43.53,49.32,46.53,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Xunjiansi power station,WRI1070453,735.0,23.9584,103.1891,Coal,,,,2008.0,Huadian Power International Company Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1033734,,,,,,,,,,,,,,3581.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xuzhou - GCL Coal,WRI1070007,60.0,34.3045,117.3083,Coal,,,,,Xuzhou Jinshanqiao Cogeneration Co Ltd,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33044-xuzhou-gcl-coal-power-plant,Industry About,,,,,,,,,,,,,,,292.36,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xuzhou Chacheng power station,WRI1070554,270.0,34.403,117.1348,Coal,,,,2000.0,Xuzhou Mining Group Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1069754,,,,,,,,,,,,,,1315.62,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xuzhou Huamei power station,WRI1070552,700.0,34.3412,117.1048,Coal,,,,2016.0,Xuzhou Mining Group Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1099951,,,,,,,,,,,,,,3410.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xuzhou Pengcheng power station,WRI1070028,3340.0,34.3781,117.1763,Coal,,,,2006.0,China Resources Power Holdings Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1074887,,,,,,,,,,,,,,16274.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
