country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
GBR,United Kingdom,Llynfi Renewable Energy Park  Land at Mynydd Caerau,GBR0004656,18.0,51.6449,-3.6211,Wind,,,,,John Laing,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,,,,,45.37,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
GBR,United Kingdom,Loch An Laoigh Hydro,GBR0000438,1.0,57.4036,-5.304,Hydro,,,,,Gilkes Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,2.86,1.86,3.1,2.38,2.38,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
GBR,United Kingdom,Loch Carnan  South Uist,GBR1000415,9.0,57.25,-7.35,Oil,,,,,Scottish and Southern: Island Generation,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,CARMA,1028322,,,,,,,,,,,,,,4.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
GBR,United Kingdom,Loch Dubh,GBR1000390,1.2,57.4667,-4.0833,Hydro,,,,,Scottish and Southern: Hydro Schemes - Conon,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,CARMA,1028323,,,,,,,,,,5.08,3.72,5.78,4.4,4.4,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
GBR,United Kingdom,Loch Eilde Mor Hydro (Kinlochleven extension),GBR0000410,2.0,56.7298,-4.9172,Hydro,,,,,Green Highland Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,6.36,4.36,7.12,5.42,5.4,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
GBR,United Kingdom,Loch Ericht,GBR0000465,2.2,56.824,-4.372,Hydro,,,,,Scottish and Southern Energy (SSE),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,1028324,,,,,,,,,,7.18,5.67,7.83,6.14,6.12,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
GBR,United Kingdom,Loch Gair,GBR0000395,6.0,56.0696,-5.3294,Hydro,,,,,Scottish and Southern Energy (SSE),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,1028325,,,,,,,,,,18.27,12.28,20.91,15.44,15.39,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
GBR,United Kingdom,Loch Sminig Wind Project,GBR0003988,2.7,58.3836,-6.493,Wind,,,,,Urras Oighreachd Ghabhsainn (Galson Estate Trust),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,,,,,6.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
GBR,United Kingdom,Lochay,GBR1000384,46.0,54.9667,-3.4667,Hydro,,,,,Scottish and Southern: Hydro Schemes - Breadalbane,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,CARMA,1028327,,,,,,,,,,159.24,112.89,181.24,137.15,136.78,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
GBR,United Kingdom,Lochay Compensation Set,GBR1000385,2.0,54.9667,-3.4667,Hydro,,,,,Scottish and Southern: Hydro Schemes - Breadalbane,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,CARMA,1028327,,,,,,,,,,7.16,5.16,7.92,6.22,6.2,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
